Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT (min),Avg CTAT (min),Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance (km),Driver Ratings,Customer Rating
2025-07-05,04:23:15,BLR202507-000001,Success,CUST-268746,Bike,Benson Town,Indiranagar,6,16,0,,0,,0,,168.7,15.37,4.41,4.52
2025-07-11,10:19:54,BLR202507-000002,Success,CUST-588983,eBike,Banashankari,MG Road,4,14,0,,0,,0,,102.4,9.01,4.31,4.66
2025-07-05,16:35:35,BLR202507-000003,Incomplete,CUST-438302,Bike,Whitefield,Devanahalli,,,0,,0,,1,Other Issue,,,,
2025-07-20,17:29:15,BLR202507-000004,Success,CUST-984096,eBike,Silk Board,Basavanagudi,7,15,0,,0,,0,,25.42,1.02,5,5
2025-07-26,19:58:52,BLR202507-000005,Cancelled by Driver,CUST-700495,Bike,Domlur,Electronic City,,,0,,1,The customer was coughing/sick,0,,,,,
2025-07-17,07:07:38,BLR202507-000006,Success,CUST-330646,Prime Plus,Sadashivanagar,Electronic City,12,19,0,,0,,0,,314.5,10.18,4.49,4.72
2025-07-26,19:11:32,BLR202507-000007,Success,CUST-629678,Prime Plus,Brookefield,Yeshwanthpur,5,16,0,,0,,0,,205.98,5.09,4.26,4.93
2025-07-18,18:55:48,BLR202507-000008,Success,CUST-523013,Auto,Domlur,RT Nagar,4,12,0,,0,,0,,137.91,6.78,4.95,4.73
2025-07-29,22:14:37,BLR202507-000009,Success,CUST-323717,eBike,Sarjapur Road,Yelahanka,2,8,0,,0,,0,,60.33,5.37,4.32,5
2025-07-31,21:55:53,BLR202507-000010,Success,CUST-889216,Bike,Sadashivanagar,Bommanahalli,5,13,0,,0,,0,,32.5,1.75,4.43,5
2025-07-18,10:17:45,BLR202507-000011,Cancelled by Customer,CUST-963699,Prime SUV,Kalyan Nagar,Indiranagar,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2025-07-22,09:03:26,BLR202507-000012,Success,CUST-462814,Mini,Frazer Town,Kalyan Nagar,10,21,0,,0,,0,,339.6,13.5,4.69,4.83
2025-07-20,22:59:58,BLR202507-000013,Success,CUST-751303,Prime Plus,MG Road,Mahadevapura,7,19,0,,0,,0,,299,9.56,4.64,3.98
2025-07-29,10:34:04,BLR202507-000014,Success,CUST-436526,Mini,Jayanagar,CV Raman Nagar,3,16,0,,0,,0,,557.08,24.69,4.73,4.91
2025-07-09,03:53:06,BLR202507-000015,Cancelled by Driver,CUST-666479,eBike,BTM Layout,Koramangala,,,0,,1,The customer was coughing/sick,0,,,,,
